"행정구역","2025년05월_계_총인구수","2025년05월_계_연령구간인구수","2025년05월_계_0세","2025년05월_계_1세","2025년05월_계_2세","2025년05월_계_3세","2025년05월_계_4세","2025년05월_계_5세","2025년05월_계_6세","2025년05월_계_7세","2025년05월_계_8세","2025년05월_계_9세","2025년05월_계_10세","2025년05월_계_11세","2025년05월_계_12세","2025년05월_계_13세","2025년05월_계_14세","2025년05월_계_15세","2025년05월_계_16세","2025년05월_계_17세","2025년05월_계_18세","2025년05월_계_19세","2025년05월_계_20세","2025년05월_계_21세","2025년05월_계_22세","2025년05월_계_23세","2025년05월_계_24세","2025년05월_계_25세","2025년05월_계_26세","2025년05월_계_27세","2025년05월_계_28세","2025년05월_계_29세","2025년05월_계_30세","2025년05월_계_31세","2025년05월_계_32세","2025년05월_계_33세","2025년05월_계_34세","2025년05월_계_35세","2025년05월_계_36세","2025년05월_계_37세","2025년05월_계_38세","2025년05월_계_39세","2025년05월_계_40세","2025년05월_계_41세","2025년05월_계_42세","2025년05월_계_43세","2025년05월_계_44세","2025년05월_계_45세","2025년05월_계_46세","2025년05월_계_47세","2025년05월_계_48세","2025년05월_계_49세","2025년05월_계_50세","2025년05월_계_51세","2025년05월_계_52세","2025년05월_계_53세","2025년05월_계_54세","2025년05월_계_55세","2025년05월_계_56세","2025년05월_계_57세","2025년05월_계_58세","2025년05월_계_59세","2025년05월_계_60세","2025년05월_계_61세","2025년05월_계_62세","2025년05월_계_63세","2025년05월_계_64세","2025년05월_계_65세","2025년05월_계_66세","2025년05월_계_67세","2025년05월_계_68세","2025년05월_계_69세","2025년05월_계_70세","2025년05월_계_71세","2025년05월_계_72세","2025년05월_계_73세","2025년05월_계_74세","2025년05월_계_75세","2025년05월_계_76세","2025년05월_계_77세","2025년05월_계_78세","2025년05월_계_79세","2025년05월_계_80세","2025년05월_계_81세","2025년05월_계_82세","2025년05월_계_83세","2025년05월_계_84세","2025년05월_계_85세","2025년05월_계_86세","2025년05월_계_87세","2025년05월_계_88세","2025년05월_계_89세","2025년05월_계_90세","2025년05월_계_91세","2025년05월_계_92세","2025년05월_계_93세","2025년05월_계_94세","2025년05월_계_95세","2025년05월_계_96세","2025년05월_계_97세","2025년05월_계_98세","2025년05월_계_99세","2025년05월_계_100세 이상"
"경기도 용인시 (4146000000)","1,091,194","1,091,194","5,560","5,478","5,970","6,226","6,604","7,208","8,013","8,751","9,868","11,359","11,477","11,593","12,484","12,373","12,806","11,732","11,906","13,086","12,732","11,569","11,326","11,793","11,630","12,378","14,135","13,915","13,470","13,904","13,474","13,924","13,785","13,923","14,248","14,267","13,331","13,290","13,531","13,086","13,533","14,236","14,582","16,319","18,213","19,817","20,063","20,373","18,413","18,348","18,420","19,079","19,745","21,101","20,661","20,816","21,156","19,558","19,557","17,075","15,823","15,445","15,429","13,686","15,006","13,658","14,799","13,435","12,359","11,581","10,703","10,337","10,555","8,529","8,823","7,858","6,507","7,288","7,025","7,336","7,334","5,329","5,383","5,055","5,490","5,155","4,133","3,528","3,103","2,722","2,354","1,972","1,589","1,206","897","739","504","380","318","202","126","64","159"
"경기도 용인시 처인구 (4146100000)","281,401","281,401","1,503","1,431","1,546","1,620","1,676","1,755","1,940","2,063","2,184","2,546","2,408","2,450","2,684","2,649","2,722","2,446","2,520","2,776","3,215","3,087","2,651","2,756","2,945","3,107","3,538","3,598","3,462","3,557","3,487","3,718","3,755","3,835","3,992","4,013","3,708","3,623","3,588","3,370","3,518","3,726","3,726","4,143","4,670","4,934","4,858","4,738","4,356","4,281","4,213","4,463","4,714","5,024","5,057","4,960","5,192","4,937","5,156","4,638","4,542","4,675","4,621","4,009","4,704","4,447","4,850","4,393","4,004","3,666","3,275","3,206","3,138","2,502","2,576","2,293","1,714","1,875","1,770","1,844","1,685","1,273","1,284","1,170","1,349","1,249","987","844","794","657","614","494","447","326","242","180","150","100","80","50","37","18","39"
"경기도 용인시 처인구 포곡읍(4146125000)","31,232","31,232","81","101","82","82","112","109","135","160","160","224","227","262","300","322","330","291","330","385","479","422","305","323","337","400","484","485","450","476","437","445","424","390","398","354","277","291","273","265","264","309","302","400","410","510","498","514","510","530","514","545","648","654","614","610","701","582","681","599","596","545","559","443","559","540","572","499","410","411","357","345","338","258","259","264","182","203","207","199","180","150","176","136","162","157","114","104","107","66","68","74","55","27","24","25","24","6","10","7","6","1","4"
"경기도 용인시 처인구 모현읍(4146125300)","33,068","33,068","201","216","228","193","219","219","242","233","243","298","273","281","295","278","309","259","276","309","259","284","305","336","361","383","403","393","393","379","355","431","389","463","497","477","490","462","454","406","392","483","450","492","559","626","569","551","493","506","470","556","535","562","635","588","602","589","621","585","541","552","509","502","571","495","562","538","504","441","414","403","400","292","298","266","204","227","201","208","194","135","157","137","152","132","116","100","88","80","71","47","42","31","23","17","15","14","12","8","5","1","7"
"경기도 용인시 처인구 이동읍(4146125600)","19,254","19,254","48","41","66","70","80","92","94","100","149","133","155","161","158","169","192","128","169","167","160","156","154","150","172","140","201","185","189","229","206","215","215","200","202","222","187","204","197","174","173","202","221","240","290","285","286","307","282","286","281","281","326","364","388","348","394","367","361","336","382","410","395","374","416","385","424","381","365","332","284","287","273","238","206","189","146","171","154","155","139","137","95","90","129","119","113","87","76","69","49","44","48","41","29","16","17","10","11","7","1","8","4"
"경기도 용인시 처인구 남사읍(4146125900)","23,612","23,612","159","118","147","195","187","233","247","279","314","363","341","335","375","347","297","289","264","270","213","141","120","103","88","104","132","134","166","175","183","210","240","251","286","316","284","293","304","304","325","366","420","465","560","551","577","512","472","427","407","391","363","357","356","308","296","324","328","313","282","340","344","282","331","318","387","363","341","337","252","282","259","224","259","226","156","177","178","184","172","100","104","115","105","88","78","59","65","58","49","58","27","29","15","11","9","8","8","1","4","0","2"
"경기도 용인시 처인구 원삼면(4146134000)","7,833","7,833","6","10","15","12","13","16","24","29","29","39","32","38","46","38","46","64","36","54","177","192","83","48","51","45","58","56","56","64","71","49","80","68","50","56","53","51","53","55","56","54","56","57","79","87","93","102","95","79","83","88","91","132","127","134","128","141","149","126","159","178","201","174","208","187","227","199","188","166","168","155","145","144","156","113","100","83","96","91","85","62","66","70","70","66","55","54","42","29","34","24","31","30","21","9","8","6","7","3","1","0","2"
"경기도 용인시 처인구 백암면(4146135000)","8,050","8,050","6","16","14","14","10","12","17","31","26","26","24","25","36","22","34","45","43","47","151","144","47","43","60","49","65","63","59","64","66","74","71","65","70","72","61","57","56","69","54","48","61","78","79","89","81","81","87","95","91","101","108","113","121","136","141","118","157","150","158","190","165","156","208","220","241","238","200","174","165","178","177","150","159","121","87","93","102","95","97","63","68","67","78","84","73","60","71","54","45","44","42","27","19","13","12","8","1","4","0","0","0"
"경기도 용인시 처인구 양지면(4146136000)","21,021","21,021","93","97","100","104","93","96","110","117","118","132","149","160","175","176","196","184","156","170","435","391","203","162","190","175","202","216","224","241","280","278","294","320","323","301","283","265","248","233","252","251","241","290","314","310","332","358","301","295","328","300","347","343","378","384","364","389","411","374","389","392","396","324","429","383","407","395","317","327","298","263","264","207","225","167","128","144","107","136","115","94","81","87","101","106","72","55","60","63","47","34","36","26","23","26","8","12","9","3","4","3","6"
"경기도 용인시 처인구 중앙동(4146151000)","26,782","26,782","129","110","131","118","123","131","136","155","187","176","163","179","200","214","240","210","220","228","220","266","294","353","377","422","478","520","447","430","448","407","416","438","419","442","365","334","321","303","333","335","292","364","347","412","369","401","366","369","357","420","444","473","446","470","498","479","485","446","396","463","456","380","435","424","487","377","405","402","296","319","297","238","233","214","175","189","174","184","171","119","139","113","130","115","87","80","80","56","68","45","49","38","26","19","10","11","8","2","8","3","5"
